           2           1          62
           2           3           9
           4           5          93
          22          23           2
          22          24           5
           6           5          46
         395           1          23
         394           1          45
           2         590          17
         591         590          12
         591           3          14
           6         593          12
           6         594           8
         203         594          16
         203           7          33
         595         204           1
         595         596           2
         597         598           4
         788           1          83
         203         789          11
         597           9          17
         597         791           7
         597         596           6
         597         792           6
         394         982           3
         597         983          20
         591        1172           2
        1173           3           6
        1288        1289           2
        1290        1289           3
        1360           1          33
        1361         590           1
        1362         590           2
         591        1363           1
        1364        1363           3
        1173        1172           2
        1365           3          30
           4         396           2
        1366           5          13
        1367           7          14
        1480        1481           3
        1288        1481           2
        1290        1482           2
        1483        1484           1
        1552           1          66
        1553           1           9
        1554        1363           1
        1364           3           1
           4         592           6
        1366         593           2
        1555         593           2
        1555         594           9
        1556        1557           3
        1667        1668           3
        1480        1668           2
        1288        1669           1
        1290        1670           3
        1483        1482           1
        1483        1671           2
        1672        1673           7
        1736         590           2
        1737         590           4
        1738        1363           1
        1739        1740           1
        1741           3          15
        1742         592          18
        1742           5          16
        1366        1743           6
        1555        1743           5
         597        1744          16
        1745        1557           1
        1854        1855           1
        1667        1855           2
        1480        1669           3
        1483        1670           3
        1672        1671           1
        1672        1856           2
        1857        1858           1
         788         590          22
        1919         590           4
        1738        1920           2
        1365        1920           9
        1365        1921           1
        1922           3           5
        1741         592          50
        1923           5          10
        1367         789           4
        1924        1744           2
        1924        1925           4
        2031        2032           3
        1854        2032           2
        1667        1669           3
        2033        1669          63
        2033        1670          89
        1672        1670           7
        1857        1856           1
        1857        2034           2
        1552         982          86
        2095         592           5
        1742        2096          41
        1923        1743           9
        2097        1743          13
        2097         594          18
        2098         594           8
        2098         789           1
         597         790          20
        2031        2204           3
        1857        1670           3
        2205        1670           8
        2205        2206           4
        2266         590           2
        2267         590           1
        2268        1920           1
        2269        1920           2
        2271        1743          12
        2098           7           5
         597        2274          13
        2275        2274           1
        2033        2204          15
        2033        2032           2
        2266        1920           1
        2439        1920           2
        2269        2440           2
        2269        2270           1
        1741        2270           8
        2441           7           7
         597        2444          13
        2445        2274           1
        2445        2446           2
        2447        2448           1
        2033        2550          22
        2551        1670           4
        2551        2552           2
         788        2611          15
        2612        1920           1
        2613        1920           9
        1741        1920           5
        2614        1920           1
        2615        2440           2
        2616        2270           1
        1923        2096           3
        2617         594           6
        2441        2442           5
        2441        2272          13
        2441        2273          12
        2618        2273           2
         597        2443          21
        2445        2444           2
        2447        2444           4
        2447        2446           1
        2447        2619           5
        2719        2720           2
        2719        2721           2
        1360        2611           7
        2613        2611          63
        1741        2779          11
        2616        2779           2
        2616        2780           1
        2781        2270           1
        2095        2096          10
        2098        2782           2
        2441        2782          18
        2783        2273           9
        2618        2443          19
         597        2784          15
        2447        2785           3
        2033        2885          18
        2719        2886           2
        2887        2888           4
        1360        2945           4
        2946        2779           1
        2947        2948           1
        1741        2948           5
        1741        2096          25
        2949        2096           6
        2271        2096           3
        2617        2782           7
         597        2950          17
        2951        2784           3
        2951        2785           1
        3046        2885          29
        2033        2886           5
        2887        2886           3
        1552        3103          41
        1553        3103          53
        1553        2611          23
        1741        3104          10
        2271        3104          14
        2271         594           7
         597        3105          28
         597        3106          12
        3107        2784           2
        3107        2785           2
        3108        3109           3
        3046        3201          13
        3202        2886           1
        3202        3203           2
        3204        3205           5
        3257         982          92
        1553        2945          15
        3258        2611          36
        1741        3259          79
        2949        3104          12
        2271        3260           7
        2441        3261          21
        2441        3262           9
        3107        3106           3
        3108        2785           2
        3108        3263           2
        3264        3265           3
        3046        3353           8
        2033        3354          14
        3202        3354           2
        3204        3203           1
        3204        3355           4
        3407        3259         104
        3408        3104          35
        2271        2782           9
        2783        3262           5
        2618        3262          19
        2618        2950          18
        3108        3106           7
        3264        3263           1
        3264        3409           3
        3410        3411           2
        3046        3495          10
        3204        3496           6
        3497        3498           3
        3547        2782           8
        3264        3105          20
        3264        3106           1
        3264        3548           9
        3410        3409           4
        3410        3549           2
        3550        3551           1
        3046        3631          17
        2033        3632          92
        2033        3496          14
        3633        3496          10
        3497        3496           5
        3497        3355           1
        3497        3634           4
        1553        3683          14
        2613        3259          20
        3408        3259          20
        3684        3104           2
        3684        3685          25
        3684        3260           5
        3547        3686          21
        2618        3687           7
        3410        3548          21
        3410        3688           6
        3550        3549           1
        3550        3689          10
        3046        3769          43
        3770        3496           7
        3771        3496          13
        3684        3820          17
        3547        3260           1
        3821        3686          10
        3821        3261           3
        3822        3105           6
        3550        3688           5
        3046        3632          73
        2033        3901         109
        3902        3496           4
        3902        3634           2
        3258        3683          14
        3951        2611          13
        3408        3685          21
        3547        3820          15
        3821        3262           4
        3046        4029          14
        3771        4030           4
        4078        3259          50
        4079        3686           7
        3821        4080          14
        4081        3262          13
        4081        3687          30
        4082        2950          12
        4083        2950          18
        3822        2950          11
        3822        3548           4
        3550        4084           3
        3046        4161          12
        3770        3901           2
        4209        3683           8
        4210        2611          12
        3951        4211           9
        4081        4080          28
        4212        3548           6
        3046        4288          11
        4289        3901          18
        3633        4030           1
        3770        4030           1
        3951        3259           5
        4337        3259           3
        4338        3259          19
        4339        3685          24
        4082        3687          17
        4082        4340          17
        4212        4341          13
        4212        4342           2
        4343        4342           2
        4343        4084           2
        4418        4419           1
        3046        4419           5
        3046        4420          85
        4421        4422           2
        4469        3103           2
        4209        3103           4
        4079        3820           6
        4079        4470          14
        3821        4470           4
        4083        4340           1
        3822        4471          14
        4212        4471           1
        4472        4471           5
        4473        4342           4
        4473        4474           4
        4418        4548           9
        4549        3901           3
        4550        3901          35
        4549        4422           2
        4597        4598           7
        4599        4598          18
        4209        4598           2
        4210        4600          15
        4210        4211           4
        4337        4211           2
        3408        4601           1
        4339        4601           4
        4602        2950           5
        4472        4341          21
        4472        4342           4
        4418        4675           9
        4676        3901           1
        4550        4422           1
        4597         982           3
        4209        4723           8
        3258        4723           2
        3258        4600           7
        4338        4211           2
        4724        4601           8
        4339        4725           6
        4339        4470          69
        3684        4470          74
        4726        4080           6
        4602        4340           1
        4727        2950          13
        4728        4729           3
        4728        4730           3
        4418        4801           8
        4550        4802           2
        4803        4804           2
        4805        4806           1
        4597        4850           2
        4851        4723           6
        4851        4600           9
        4853        4211           2
        4853        4854           3
        4338        4854           5
        4724        3259           1
        4724        4725          14
        4855        3820           1
        4726        4470          19
        4856        4080          20
        4727        4340           1
        4472        4729           9
        4857        4730           2
        4418        4927          10
        3046        4928          75
        4803        4802           1
        4803        4929           1
        4805        4804           1
        4805        4930           2
        3257        4850          58
        4599        4850          10
        4974        4600          22
        4853        4975           3
        4976        3259           3
        3407        4977          17
        3407        4978          11
        4078        4978           8
        4855        4470          18
        4856        3687          13
        4082        4979           4
        4727        4979          16
        3822        4980           9
        4472        4980          20
        4857        4729           8
        4857        4981           4
        4418        5050          15
        4418        4420          27
        5051        3901          98
        5052        3901           1
        5053        4802           2
        5054        4802           1
        5055        4804           2
        5056        4930           1
        5056        5057           2
        4209        4850          14
        5100        4600          19
        5101        4852           2
        5102        4975           1
        5102        4854           7
        4976        4854          14
        4976        4977           5
        4078        5103           7
        4724        5104         204
        4339        5105          14
        4856        4470          54
        4082        5106           1
        3822        4979         155
        3046        5174           9
        5052        4802           1
        5055        5175           2
        5176        5057           1
        5176        5177           2
        4209        5219           2
        4851        5219           1
        4974        5219          12
        5100        4852           2
        5101        4854           2
        5220        4975           1
        4976        5221          14
        4976        5222           6
        3407        5223           4
        4724        5105          70
        5224        3687           2
        5224        5106           4
        4856        5106          33
        5225        4979           7
        5226        5227           7
        4418        5293           1
        4418        5294           8
        5295        3632          19
        5296        4802           1
        5176        5297           1
        5176        5175           2
        5298        5299           4
        5340        4850          76
        5341        5219           4
        5100        4854          32
        5220        4854           2
        5342        5343           6
        3407        5343           2
        5344        4729           3
        5226        4729           1
        4418        5410           4
        5176        3901           3
        5176        5299           2
        5341        4850           4
        4976        5223           2
        5342        5223           5
        5451        5103           2
        4724        5103           2
        4856        4979         118
        3822        5452          27
        4472        5452          13
        4472        5453           3
        5344        5227           2
        5454        5227           6
        5454        5455           1
        5518        5410          30
        5295        5174          17
        5295        3901          39
        5519        3901          14
        5520        3901          74
        5520        5299           9
        4974        4850           5
        4976        5561           4
        5342        5562          13
        5451        5343           2
        5344        5453           2
        5454        5563           7
        5518        5624           9
        5518        4420          84
        5520        5625          24
        5665        4850          23
        4974        5666           8
        5100        5221          26
        5668        5669           1
        5668        5670           6
        5671        5104           1
        5454        5453           8
        5454        5672          14
        5518        5731           8
        5295        4928           6
        5732        3901          17
        5665        5666          50
        4974        5772           2
        5100        5773          14
        5100        5561           1
        5668        5562           9
        4724        4470          52
        5518        5832           7
        5295        5833          15
        3257        5873          25
        5665        5773          24
        5100        5874           5
        5875        5562           5
        5876        5562          24
        5668        5877           5
        5668        5104           1
        5876        5104         161
        3822        5453           6
        5454        5878           4
        5879        5672           6
        5518        5936           3
        5937        3901           6
        5520        5938          15
        5100        5977          12
        5876        5877          15
        4724        5978          13
        4856        5978          20
        4856        5979          31
        5879        5980           8
        6034        6035           1
        6034        6036           4
        5518        6037          41
        6038        3901           7
        6039        3901          12
        5520        6040           2
        5100        5562           9
        6077        5562           4
        4856        6078          13
        3822        6079           9
        3822        5878           3
        5879        5878           2
        5879        6080           5
        5879        6081           5
        6034        6133          12
        6034        6037          17
        6134        5833           2
        6135        5833           2
        6136        5833           1
        5520        6137           3
        6174        5773           2
        6174        5977          11
        5876        6175           1
        3822        6080           3
        6176        6177           2
        6034        6227           6
        6229        5833           1
        6230        6137          11
        5665        5977           2
        5100        6267           8
        5100        6175           2
        6077        6175           4
        6268        6175          10
        6269        4979         104
        6269        6079          15
        5879        6079           9
        5879        6270          19
        6271        6177           2
        6034        6320           1
        6034        6321          41
        6322        6228          10
        6134        6324           2
        6135        6324           2
        6229        6324           2
        5295        6324           1
        6325        3901           6
        6230        6326           7
        3257        6363          10
        5665        6364          10
        6365        6175          17
        6271        6270           1
        6271        6366           2
        6034        6414          42
        6415        6037          15
        6416        4928           9
        6322        6323           2
        5732        6324           1
        5732        6417           2
        6454        5873           5
        3257        6455           4
        5340        6363           6
        5340        6456          15
        6457        4850           4
        5665        6458          14
        6459        6267          50
        6365        6267          35
        4856        5104          13
        6460        6270           3
        6460        6366           4
        5518        6503          10
        6416        4420          21
        6416        6228           9
        6322        6504           5
        6038        6512           1
        6038        6513           2
        6514        3901          16
        6230        3901          19
        6230        6515           9
        3257        6554           2
        5340        6555           6
        6556        6364           4
        6556        5977          12
        6459        5977          10
        6268        6557           3
        5876        6557           3
        6558        6270           9
        6559        6270          30
        6560        6561           1
        6600        6601           5
        6034        6601           5
        6602        6228           4
        5937        6611           2
        6230        6612          11
        6651        5873           2
        6454        6554           2
        3257        6652           3
        5340        6653           2
        5340        6654           3
        6457        6555           5
        6655        6458          10
        6656        6458           2
        6556        6657           7
        4856        6658           4
        6659        5979          10
        6659        4979          11
        6660        6079           2
        6558        6079           7
        6560        6366           2
        6560        6661           2
        6662        6663           1
